qid,common,const,typ,ra,dec,radm,decdm,maj,min,pa,rot,pal,maxalt,peak,fit,src,note,png
NGC 7635,Bubble,Cas,HII,350.20124999999996,61.20166666666667,23h20m48s,+61°12',22,15,0,PA 000° (long axis),SHO,70,Sep,fits,SIMBAD,bubble + M52 nearby,NGC_7635.png
Sh2-157,Lobster Claw,Cas,HII,349.01641666666666,60.033583333333326,23h16m03s,+60°02',60,30,40,PA 040° (long axis),SHO,71,Sep,fits,SIMBAD,60' fits long axis,Sh2-157.png
NGC 6820,Sh2-86,Vul,HII,295.616375,23.087430555555553,19h42m27s,+23°05',40,30,0,PA 000° (long axis),SHO,72,Jul,fits,SIMBAD,pillar + NGC6823 cluster,NGC_6820.png
M27,Dumbbell,Vul,PN,299.90151327087,22.721197794319995,19h59m36s,+22°43',8,6,30,PA 030° (long axis),HOO / SHO,72,Jul,fits,SIMBAD,bright PN; OIII strong,M27.png
M57,Ring,Lyr,PN,283.39623652463,33.029134246539996,18h53m35s,+33°01',1.4,1.0,0,PA 000° (long axis),HOO,82,Jul,fits,SIMBAD,tiny — better long-FL/cropped,M57.png
Sh2-132,Lion,Cep,HII,334.7874981527859,56.07912137383219,22h19m08s,+56°04',40,30,30,PA 030° (long axis),SHO,75,Aug,fits,SIMBAD,faint; SHO rewards it,Sh2-132.png
NGC 7822,Sh2-171,Cep,HII,0.28575,67.4213888888889,00h01m08s,+67°25',60,60,0,any (round),SHO,63,Sep,tight,SIMBAD,fills frame; pillars,NGC_7822.png
IC 405,Flaming Star,Aur,HII+refl,79.35,34.38333333333333,05h17m24s,+34°22',37,19,30,PA 030° (long axis),Ha / HOO,84,Dec,fits,SIMBAD,late-fall rising; AE Aur,IC_405.png
IC 410,Tadpoles,Aur,HII,80.5,33.483333333333334,05h21m59s,+33°29',40,30,0,PA 000° (long axis),SHO,83,Dec,fits,SIMBAD,late-fall; tadpole globs,IC_410.png
NGC 2237,Rosette,Mon,HII,97.65041666666666,4.980722222222223,06h30m36s,+04°58',80,70,0,any (round),SHO,54,Dec,tight,SIMBAD,tight/slight overflow; late fall,NGC_2237.png
NGC 2264,Christmas Tree / Cone,Mon,HII,100.21708333333333,9.876944444444444,06h40m52s,+09°52',40,20,0,PA 000° (long axis),SHO,59,Dec,fits,SIMBAD,cluster + Cone; late fall,NGC_2264.png
IC 443,Jellyfish,Gem,SNR,94.25,22.5699996948,06h16m59s,+22°34',50,40,140,any (round),HOO,72,Dec,fits,SIMBAD,SNR; fall/winter,IC_443.png
NGC 2174,Monkey Head,Ori,HII,92.42500000000001,20.5,06h09m42s,+20°30',40,30,0,PA 000° (long axis),SHO,70,Dec,fits,SIMBAD,fall/winter rising,NGC_2174.png
M42,Orion Nebula,Ori,HII,83.8201,-5.3876,05h35m16s,-05°23',85,60,0,PA 000° (long axis),HOO / SHO,44,Dec,tight,SIMBAD,very bright; tight in frame; +M43/Running Man,M42.png
NGC 2024,Flame,Ori,HII,85.42916666666667,-1.8416666666666668,05h41m43s,-01°50',30,30,0,any (round),SHO,47,Dec,fits,SIMBAD,Alnitak glare; Horsehead in adjacent frame,NGC_2024.png
IC 434,Horsehead,Ori,HII,85.25,-2.5,05h41m00s,-02°30',60,10,0,PA 000° (long axis),Ha / SHO,47,Dec,fits,SIMBAD,B33 dark horse on the IC434 Ha strip,IC_434.png
M1,Crab,Tau,SNR,83.6324,22.0174,05h34m31s,+22°01',6,4,0,PA 000° (long axis),HOO,71,Dec,fits,SIMBAD,small bright SNR; filaments,M1.png
NGC 2359,Thor's Helmet,CMa,WR bubble,109.625,-13.226666666666667,07h18m30s,-13°13',10,8,0,any (round),HOO,36,Jan,fits,SIMBAD,low from JC; OIII bubble,NGC_2359.png
Abell 21,Medusa,Gem,PN,5.161440000000001,28.694579999999995,00h20m38s,+28°41',10,10,0,any (round),HOO,78,Sep,fits,SIMBAD,large faint PN; OIII-rich,Abell_21.png
