rank,name,common_name,constellation,ra_deg,dec_deg,magnitude,surface_brightness,size_major_arcmin,size_minor_arcmin,best_site,dark_minutes,peak_alt_deg,best_night,dark_site_only,under_sampled,score,captured_minutes,budget_minutes,completion_pct,deficit_minutes,notes
11,NGC4490,Cocoon Galaxy,CVn,187.65100,+41.64400,9.80,21.66,6.3,3.1,Jersey City,150,69.19,2026-06-10,no,no,134.91,0.0,240.0,0.0,240.0,"Interacting starburst with companion NGC 4485. Distorted, blue."
12,NGC4656,Hockey Stick Galaxy,CVn,191.01000,+32.16800,10.50,23.07,13.5,2.8,Jersey City,150,68.70,2026-06-10,yes,no,131.22,0.0,300.0,0.0,300.0,"Hooked, tidally distorted edge-on. Lowish SB; pairs with the Whale in one wide frame."
13,M108,Surfboard Galaxy,UMa,167.87900,+55.67400,10.00,21.83,8.7,2.2,Jersey City,90,55.83,2026-06-10,no,no,114.54,0.0,240.0,0.0,240.0,Edge-on with mottled dust. Pairs in-frame with the Owl Nebula (M97) on a wide field.
14,NGC6946,Fireworks Galaxy,Cep,308.71800,+60.15400,8.90,22.66,11.5,9.8,Jersey City,120,57.36,2026-06-23,yes,no,114.02,0.0,300.0,0.0,300.0,"Face-on, prolific supernova factory. Low SB face-on + sits in the Milky Way (star-dense) — better from a dark site, but high all summer."
15,M85,M85,Com,186.35000,+18.19100,9.10,21.71,7.1,5.5,Jersey City,90,56.43,2026-06-10,no,no,99.31,0.0,240.0,0.0,240.0,"Lenticular at the north end of the Virgo Cluster. Bright, smooth."
16,M82,Cigar Galaxy,UMa,148.96900,+69.68000,8.40,21.24,11.2,4.3,Jersey City,30,45.81,2026-06-10,no,no,97.81,0.0,150.0,0.0,150.0,"Edge-on starburst, very high SB — excellent from the city. Red Ha plume shows even in OSC LP."
17,M109,M109,UMa,179.40000,+53.37500,9.80,22.31,7.6,4.7,Jersey City,120,62.80,2026-06-10,no,no,97.78,0.0,240.0,0.0,240.0,Barred spiral just off Phecda (γ UMa) — watch the bright star's glare.
18,M87,Virgo A,Vir,187.70600,+12.39100,8.60,21.58,8.3,6.6,Jersey City,60,52.70,2026-06-10,no,no,94.52,0.0,180.0,0.0,180.0,"Giant elliptical, the Virgo Cluster's heart. Bright; the famous jet needs aperture, but it anchors a Markarian's Chain wide field."
19,M86,M86 (Markarian's Chain),Vir,186.54900,+12.94600,8.90,21.81,8.9,5.8,Jersey City,60,52.48,2026-06-10,no,no,91.33,0.0,240.0,0.0,240.0,"Lenticular, Markarian's Chain. Center the Chain, not the single galaxy."
20,M51,Whirlpool Galaxy,CVn,202.47000,+47.19500,8.40,21.75,11.2,6.9,Jersey City,180,78.69,2026-06-10,no,no,90.60,240.0,240.0,100.0,0.0,"Face-on grand-design + NGC 5195 companion. The showpiece. High SB core, fainter arms — the more subs the better the bridge."
21,M60,M60,Vir,190.91700,+11.55300,8.80,21.61,7.6,6.2,Jersey City,60,53.76,2026-06-10,no,no,86.04,0.0,240.0,0.0,240.0,Elliptical; pairs with spiral NGC 4647 in-frame.
22,M90,M90,Vir,189.20800,+13.16300,9.50,22.18,9.5,4.4,Jersey City,60,54.18,2026-06-10,no,no,82.19,0.0,240.0,0.0,240.0,"Large Virgo spiral, blueshifted. Dust detail with depth."
23,M81,Bode's Galaxy,UMa,148.88800,+69.06500,6.90,21.98,26.9,14.1,Jersey City,30,45.83,2026-06-10,no,no,76.74,0.0,150.0,0.0,150.0,"Grand-design spiral, bright core. Circumpolar from JC — usable most of the year. Frames with M82."
24,M98,M98,Com,183.45100,+14.90000,10.10,22.32,9.8,2.8,Jersey City,60,52.12,2026-06-10,no,no,76.71,0.0,300.0,0.0,300.0,"Near-edge-on spiral, blueshifted (approaching). Lowish SB."
25,M88,M88,Com,187.99700,+14.42000,9.60,21.75,6.9,3.7,Jersey City,60,54.51,2026-06-10,no,no,74.20,0.0,240.0,0.0,240.0,"Multi-arm spiral, one of the brighter Virgo Cluster members."
26,M84,M84 (Markarian's Chain),Vir,186.26600,+12.88700,9.10,21.63,6.5,5.6,Jersey City,60,52.27,2026-06-10,no,no,72.03,0.0,240.0,0.0,240.0,West end of Markarian's Chain. The S30's wide field can frame the whole Chain (M84/M86/NGC 4438...) — a signature OSC-scout shot.
27,M49,M49,Vir,187.44500,+8.00000,8.40,21.79,9.8,8.2,Jersey City,30,48.92,2026-06-10,no,no,71.19,0.0,180.0,0.0,180.0,Brightest Virgo Cluster galaxy (giant elliptical). Bright but smooth.
28,M100,M100,Com,185.72900,+15.82200,9.30,22.10,7.4,6.3,Jersey City,60,54.25,2026-06-10,no,no,66.93,0.0,240.0,0.0,240.0,"Grand-design face-on, one of the largest Virgo Cluster spirals."
29,M99,Coma Pinwheel,Com,184.70700,+14.41600,9.90,22.06,5.4,4.8,Jersey City,60,52.53,2026-06-10,no,yes,54.51,0.0,240.0,0.0,240.0,Face-on one-armed spiral. Small on the S30.
