rank,name,common_name,object_type,constellation,ra_deg,dec_deg,size_major_arcmin,size_minor_arcmin,best_site,dark_minutes,peak_alt_deg,best_night,fits_fov,mosaic,score,captured_minutes,budget_minutes,completion_pct,deficit_minutes,budget_minutes_json,notes
11,Sh2-129,Flying Bat (Ou4 Squid),HII,Cep,317.95000,+59.95000,150.0,120.0,Jersey City,150,60.15,2026-06-23,no,yes,252.18,0.0,300.0,0.0,300.0,"{""Ha"": 120, ""OIII"": 180}",S30: fits | OIII Squid very faint — dark-site
12,NGC 7000,North America (+Pelican),HII,Cyg,314.69600,+44.33000,120.0,100.0,Jersey City,120,64.97,2026-06-23,no,yes,221.97,0.0,300.0,0.0,300.0,"{""Ha"": 210, ""OIII"": 90}",S30: fits | NGC7000+IC5070 in one frame — flagship S30 target
13,Cygnus Loop,Veil (full loop),SNR,Cyg,312.75000,+30.66700,180.0,170.0,Jersey City,120,62.40,2026-06-23,no,yes,218.88,0.0,300.0,0.0,300.0,"{""Ha"": 120, ""OIII"": 180}",S30: tight | whole Veil in one shot — S30's signature
14,Sh2-119,Clamshell,HII,Cyg,319.62500,+43.93300,90.0,90.0,Jersey City,120,61.42,2026-06-23,no,yes,217.70,0.0,300.0,0.0,300.0,"{""Ha"": 210, ""OIII"": 90}",S30: fits | fits whole; 68 Cyg
15,IC 1396,Elephant's Trunk (full),HII,Cep,324.74500,+57.51400,170.0,140.0,Jersey City,120,57.52,2026-06-23,no,yes,213.02,0.0,300.0,0.0,300.0,"{""Ha"": 210, ""OIII"": 90}",S30: tight | full nebula + cluster + trunk
16,Sh2-155,Cave,HII,Cep,344.27500,+62.63600,50.0,30.0,Jersey City,90,47.32,2026-06-23,yes,no,205.98,0.0,420.0,0.0,420.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120}","Esprit: fits, PA 090° (long axis) | S30: fits | dark cave rim"
17,IC 5146,Cocoon,HII,Cyg,328.37200,+47.24600,12.0,12.0,Jersey City,60,55.73,2026-06-23,yes,no,173.60,0.0,300.0,0.0,300.0,"{""Ha"": 210, ""OIII"": 90}","Esprit: fits, any (round) | S30: small | small; emission core + dust"
18,Sh2-132,Lion,HII,Cep,334.78700,+56.07900,40.0,30.0,Jersey City,60,52.21,2026-06-23,yes,no,168.32,0.0,420.0,0.0,420.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120}","Esprit: fits, PA 030° (long axis) | S30: fits | faint; SHO rewards it"
19,NGC 7380,Wizard,HII,Cep,341.81700,+58.12500,25.0,20.0,Jersey City,60,48.43,2026-06-23,yes,no,162.65,0.0,420.0,0.0,420.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120}","Esprit: fits, any (round) | open cluster + neb"
20,NGC 7635,Bubble,HII,Cas,350.20100,+61.20200,22.0,15.0,Jersey City,60,44.46,2026-06-23,yes,no,156.69,0.0,420.0,0.0,420.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120}","Esprit: fits, PA 000° (long axis) | bubble + M52 nearby"
21,Sh2-157,Lobster Claw,HII,Cas,349.01600,+60.03400,60.0,30.0,Jersey City,30,44.90,2026-06-23,yes,no,112.35,0.0,420.0,0.0,420.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120}","Esprit: fits, PA 040° (long axis) | S30: fits | 60' fits long axis"
22,NGC 7822,Sh2-171,HII,Cep,0.28600,+67.42100,60.0,60.0,Jersey City,30,40.97,2026-06-23,yes,no,106.46,0.0,420.0,0.0,420.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120}","Esprit: tight, any (round) | S30: fits | fills frame; pillars"
